Datum;Grupp;Serie;Värde
2023-12-29;Valutor mot svenska kronor;1 USD;10,04163
2024-01-02;Valutor mot svenska kronor;1 USD;10,18118
2024-01-03;Valutor mot svenska kronor;1 USD;10,24956
2024-01-04;Valutor mot svenska kronor;1 USD;10,21684
2024-01-05;Valutor mot svenska kronor;1 USD;10,28752
2024-01-08;Valutor mot svenska kronor;1 USD;10,24073
2024-01-09;Valutor mot svenska kronor;1 USD;10,24817
2024-01-10;Valutor mot svenska kronor;1 USD;10,22931
2024-01-11;Valutor mot svenska kronor;1 USD;10,19113
2024-01-12;Valutor mot svenska kronor;1 USD;10,29062
2024-01-15;Valutor mot svenska kronor;1 USD;10,30425
2024-01-16;Valutor mot svenska kronor;1 USD;10,40388
2024-01-17;Valutor mot svenska kronor;1 USD;10,47394
2024-01-18;Valutor mot svenska kronor;1 USD;10,44966
2024-01-19;Valutor mot svenska kronor;1 USD;10,45283
2024-01-22;Valutor mot svenska kronor;1 USD;10,42654
2024-01-23;Valutor mot svenska kronor;1 USD;10,4369
2024-01-24;Valutor mot svenska kronor;1 USD;10,41586
2024-01-25;Valutor mot svenska kronor;1 USD;10,41954
2024-01-26;Valutor mot svenska kronor;1 USD;10,4133
2024-01-29;Valutor mot svenska kronor;1 USD;10,49265
2024-01-30;Valutor mot svenska kronor;1 USD;10,41591
2024-01-31;Valutor mot svenska kronor;1 USD;10,3979
2024-02-01;Valutor mot svenska kronor;1 USD;10,48215
2024-02-02;Valutor mot svenska kronor;1 USD;10,35376
2024-02-05;Valutor mot svenska kronor;1 USD;10,5844
2024-02-06;Valutor mot svenska kronor;1 USD;10,59527
2024-02-07;Valutor mot svenska kronor;1 USD;10,46075
2024-02-08;Valutor mot svenska kronor;1 USD;10,47639
2024-02-09;Valutor mot svenska kronor;1 USD;10,47299
2024-02-12;Valutor mot svenska kronor;1 USD;10,42607
2024-02-13;Valutor mot svenska kronor;1 USD;10,42435
2024-02-14;Valutor mot svenska kronor;1 USD;10,55979
2024-02-15;Valutor mot svenska kronor;1 USD;10,47892
2024-02-16;Valutor mot svenska kronor;1 USD;10,46202
2024-02-19;Valutor mot svenska kronor;1 USD;10,4278
2024-02-20;Valutor mot svenska kronor;1 USD;10,38558
2024-02-21;Valutor mot svenska kronor;1 USD;10,36867
2024-02-22;Valutor mot svenska kronor;1 USD;10,30432
2024-02-23;Valutor mot svenska kronor;1 USD;10,29583
2024-02-26;Valutor mot svenska kronor;1 USD;10,29073
2024-02-27;Valutor mot svenska kronor;1 USD;10,29891
2024-02-28;Valutor mot svenska kronor;1 USD;10,35529
2024-02-29;Valutor mot svenska kronor;1 USD;10,35932
2024-03-01;Valutor mot svenska kronor;1 USD;10,35309
2024-03-04;Valutor mot svenska kronor;1 USD;10,36548
2024-03-05;Valutor mot svenska kronor;1 USD;10,39755
2024-03-06;Valutor mot svenska kronor;1 USD;10,35084
2024-03-07;Valutor mot svenska kronor;1 USD;10,2748
2024-03-08;Valutor mot svenska kronor;1 USD;10,21222
2024-03-11;Valutor mot svenska kronor;1 USD;10,23842
2024-03-12;Valutor mot svenska kronor;1 USD;10,23543
2024-03-13;Valutor mot svenska kronor;1 USD;10,2322
2024-03-14;Valutor mot svenska kronor;1 USD;10,27414
2024-03-15;Valutor mot svenska kronor;1 USD;10,34466
2024-03-18;Valutor mot svenska kronor;1 USD;10,39093
2024-03-19;Valutor mot svenska kronor;1 USD;10,45375
2024-03-20;Valutor mot svenska kronor;1 USD;10,47538
2024-03-21;Valutor mot svenska kronor;1 USD;10,41946
2024-03-22;Valutor mot svenska kronor;1 USD;10,53543
2024-03-25;Valutor mot svenska kronor;1 USD;10,57407
2024-03-26;Valutor mot svenska kronor;1 USD;10,5509
2024-03-27;Valutor mot svenska kronor;1 USD;10,63794
2024-03-28;Valutor mot svenska kronor;1 USD;10,66044
2024-04-02;Valutor mot svenska kronor;1 USD;10,75216
2024-04-03;Valutor mot svenska kronor;1 USD;10,73449
2024-04-04;Valutor mot svenska kronor;1 USD;10,6068
2024-04-05;Valutor mot svenska kronor;1 USD;10,63186
2024-04-08;Valutor mot svenska kronor;1 USD;10,59549
2024-04-09;Valutor mot svenska kronor;1 USD;10,54155
2024-04-10;Valutor mot svenska kronor;1 USD;10,52901
2024-04-11;Valutor mot svenska kronor;1 USD;10,74751
2024-04-12;Valutor mot svenska kronor;1 USD;10,86172
2024-04-15;Valutor mot svenska kronor;1 USD;10,84675
2024-04-16;Valutor mot svenska kronor;1 USD;10,93823
2024-04-17;Valutor mot svenska kronor;1 USD;10,97885
2024-04-18;Valutor mot svenska kronor;1 USD;10,89709
